SubjID,Task,Run1,Run2,Run3,Run4,Run5,Run6
YOU_FIRSTTHIRD_01, FIRSTTHIRD,15,17,19,21,23,25
YOU_FIRSTTHIRD_02, FIRSTTHIRD,34,36,40,42,44,46
YOU_FIRSTTHIRD_03, FIRSTTHIRD,15,17,19,21,,
YOU_FIRSTTHIRD_04, FIRSTTHIRD,15,17,19,21,23,25
YOU_FIRSTTHIRD_05, FIRSTTHIRD,19,21,23,25,27,
YOU_FIRSTTHIRD_06, FIRSTTHIRD,17,19,21,23,25,27
YOU_FIRSTTHIRD_07, FIRSTTHIRD,19,21,23,25,27,29
YOU_FIRSTTHIRD_08, FIRSTTHIRD,19,21,23,25,27,29
YOU_FIRSTTHIRD_09, FIRSTTHIRD,15,17,19,23,25,
YOU_FIRSTTHIRD_10, FIRSTTHIRD,15,17,19,21,23,25
YOU_FIRSTTHIRD_11, FIRSTTHIRD,19,21,23,25,27,29
YOU_FIRSTTHIRD_12, FIRSTTHIRD,21,23,25,27,,
YOU_FIRSTTHIRD_13, FIRSTTHIRD,19,21,23,25,27,29
YOU_FIRSTTHIRD_14, FIRSTTHIRD,23,25,27,29,31,33
YOU_FIRSTTHIRD_15, FIRSTTHIRD,21,23,25,27,29,31
YOU_FIRSTTHIRD_16, FIRSTTHIRD,21,23,25,27,29,
YOU_FIRSTTHIRD_17, FIRSTTHIRD,15,17,19,21,23,25
YOU_FIRSTTHIRD_18, FIRSTTHIRD,19,21,23,27,29,
YOU_FIRSTTHIRD_19, FIRSTTHIRD,17,19,21,23,25,27
YOU_FIRSTTHIRD_20, FIRSTTHIRD,19,21,23,25,27,29
