SubjID,Task,Run1,Run2,Run3,Run4
YOU_FIRSTTHIRD_01,so_localizer,29,31,,
YOU_FIRSTTHIRD_02,so_localizer,26,28,30,32
YOU_FIRSTTHIRD_03,so_localizer,25,27,,
YOU_FIRSTTHIRD_04,so_localizer,27,29,31,33
YOU_FIRSTTHIRD_05,so_localizer,11,13,15,17
YOU_FIRSTTHIRD_06,so_localizer,29,31,33,35
YOU_FIRSTTHIRD_07,so_localizer,11,13,15,17
YOU_FIRSTTHIRD_08,so_localizer,11,13,15,17
YOU_FIRSTTHIRD_09,so_localizer,27,29,31,33
YOU_FIRSTTHIRD_10,so_localizer,27,29,31,33
YOU_FIRSTTHIRD_11,so_localizer,11,13,15,17
YOU_FIRSTTHIRD_12,so_localizer,29,31,33,35
YOU_FIRSTTHIRD_13,so_localizer,11,13,15,17
YOU_FIRSTTHIRD_14,so_localizer,35,37,39,41
YOU_FIRSTTHIRD_15,so_localizer,13,15,17,19
YOU_FIRSTTHIRD_16,so_localizer,11,13,15,17
YOU_FIRSTTHIRD_17,so_localizer,27,29,31,33
YOU_FIRSTTHIRD_18,so_localizer,11,13,15,17
YOU_FIRSTTHIRD_19,so_localizer,29,31,33,35
YOU_FIRSTTHIRD_20,so_localizer,11,13,15,17
