,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,RATINGS,,,,,,,,,,,
Word,Category,trait_mean,state_mean,visc_mean,intensity_mean,valence_mean,,trait_z,state_z,diff,visc_z,intensity_z,valence_z
aloof ,trait,3.44,2.53,2,2.555556,2.315789,,0.00,-1.5,1.50,-0.93,-1.29,-0.40
ambitious ,trait,4.61,2.68,1.894737,3.444444,4.105263,,1.25,-1.25,2.50,-1.09,0.33,1.34
arrogant ,trait,4.53,3.00,2,3.368421,1.578947,,1.25,-0.75,2.00,-0.93,0.19,-1.12
brave ,trait,4.39,3.16,2.315789,3.388889,4.315789,,1.00,-0.5,1.50,-0.44,0.23,1.55
careless ,trait,4.11,2.84,2.105263,2.388889,1.947368,,0.75,-1,1.75,-0.77,-1.59,-0.76
cautious ,trait,4.05,2.95,2.421053,2.588235,3.052632,,0.75,-1,1.75,-0.28,-1.23,0.32
conceited ,trait,4.05,2.79,2,3.263158,1.684211,,0.75,-1.25,2.00,-0.93,0.00,-1.01
conscientious ,trait,4.58,2.53,2.210526,2.894737,3.789474,,1.25,-1.5,2.75,-0.61,-0.67,1.03
cunning ,trait,4.00,2.53,1.736842,3.473684,2.736842,,0.75,-1.5,2.25,-1.34,0.38,0.01
cynical ,trait,4.50,2.79,1.842105,3.111111,1.736842,,1.25,-1.25,2.50,-1.18,-0.28,-0.96
domineering ,trait,4.42,2.32,2.263158,3.894737,1.894737,,1.00,-2,3.00,-0.52,1.15,-0.81
funloving ,trait,4.61,2.84,2.368421,3.2,4.105263,,1.25,-1,2.25,-0.36,-0.12,1.34
humble ,trait,4.42,2.79,1.736842,2.444444,3.210526,,1.00,-1.25,2.25,-1.34,-1.49,0.47
idealistic ,trait,4.50,2.79,1.578947,3.473684,4.263158,,1.25,-1.25,2.50,-1.58,0.38,1.50
imaginative ,trait,4.44,2.89,1.842105,3.052632,4.263158,,1.00,-1,2.00,-1.18,-0.39,1.50
inquisitive ,trait,4.42,3.26,1.789474,3.277778,3.947368,,1.00,-0.5,1.50,-1.26,0.02,1.19
logical ,trait,4.53,2.16,1.368421,2.210526,3.736842,,1.25,-2,3.25,-1.91,-1.92,0.98
naive ,trait,4.33,2.68,1.578947,3.105263,2.315789,,1.00,-1.25,2.25,-1.58,-0.29,-0.40
neurotic ,trait,4.16,2.74,2.842105,4.055556,1.526316,,0.75,-1.25,2.00,0.37,1.44,-1.17
obedient ,trait,3.89,2.74,2.210526,3,3.157895,,0.50,-1.25,1.75,-0.61,-0.48,0.42
obsessive ,trait,4.16,2.68,2.578947,3.684211,2.105263,,0.75,-1.25,2.00,-0.03,0.76,-0.60
openminded ,trait,4.72,2.79,1.842105,2.588235,4.578947,,1.50,-1.25,2.75,-1.18,-1.23,1.80
